date,pm2.5,pm10,temp,humidity
2019.9.16 19:10,2,4,25.8,52.2
2019.9.16 19:11,2,4,25.8,52.2
2019.9.16 19:11,2,4,25.8,52.2
2019.9.16 19:11,2,4,25.8,52.1
2019.9.16 19:11,2,2,25.8,52.2
2019.9.16 19:11,2,2,25.8,52.1
2019.9.16 19:11,2,2,25.8,52.2
2019.9.16 19:11,2,2,25.8,52.2
2019.9.16 19:11,3,3,25.8,52.2
2019.9.16 19:11,3,3,25.8,52.2
2019.9.16 19:11,3,3,25.8,52.1
2019.9.16 19:11,3,3,25.8,52.1
2019.9.16 19:11,4,4,25.8,52.1
2019.9.16 19:12,4,4,25.8,52.1
2019.9.16 19:12,4,4,25.8,52.1
2019.9.16 19:12,4,4,25.8,52.1
2019.9.16 19:12,3,3,25.8,52.1
2019.9.16 19:12,3,3,25.8,52.1
2019.9.16 19:12,3,3,25.8,52.1
2019.9.16 19:12,3,3,25.8,52
2019.9.16 19:12,2,2,25.8,52
2019.9.16 19:12,2,2,25.8,52
2019.9.16 19:12,3,3,25.8,52
2019.9.16 19:12,3,3,25.8,52
2019.9.16 19:12,3,3,25.8,52
2019.9.16 19:13,3,3,25.8,52
2019.9.16 19:13,3,3,25.8,52
2019.9.16 19:13,3,3,25.8,52
2019.9.16 19:13,3,3,25.8,52
2019.9.16 19:13,3,3,25.8,52.1
2019.9.16 19:13,3,3,25.8,52.1
2019.9.16 19:13,3,3,25.8,52.1
2019.9.16 19:13,4,4,25.8,52
2019.9.16 19:13,4,4,25.8,52
2019.9.16 19:13,4,4,25.8,52
2019.9.16 19:13,4,4,25.8,52
2019.9.16 19:13,4,4,25.8,52
2019.9.16 19:14,4,4,25.8,52
2019.9.16 19:14,3,3,25.8,52
2019.9.16 19:14,3,3,25.8,52
2019.9.16 19:14,2,2,25.9,52.1
2019.9.16 19:14,2,2,25.8,52.1
2019.9.16 19:14,2,2,25.8,52.1
2019.9.16 19:14,2,2,25.8,52.1
2019.9.16 19:14,1,1,25.8,52.1
2019.9.16 19:14,1,1,25.8,52.1
2019.9.16 19:14,2,3,25.8,52.1
