datetime,pm2.5,pm10,temperature,humidity
2020-12-11 21:25:21,25,27,23.8,28.9
2020-12-11 21:25:26,25,27,23.7,28.9
2020-12-11 21:25:31,22,28,23.8,28.9
2020-12-11 21:25:37,22,28,23.8,28.9
2020-12-11 21:25:42,24,31,23.8,28.9
2020-12-11 21:25:47,24,31,23.7,28.9
2020-12-11 21:25:53,23,30,23.7,28.9
2020-12-11 21:25:58,23,30,23.7,28.9
2020-12-11 21:26:04,23,33,23.8,28.9
2020-12-11 21:26:09,23,33,23.7,28.9
2020-12-11 21:26:15,29,35,23.7,28.9
2020-12-11 21:26:20,28,37,23.7,28.9
2020-12-11 21:26:25,27,35,23.8,28.9
2020-12-11 21:26:31,26,35,23.8,28.9
2020-12-11 21:26:36,27,34,23.7,28.9
2020-12-11 21:26:41,27,34,23.8,28.9
2020-12-11 21:26:47,23,30,23.7,28.9
2020-12-11 21:26:52,23,30,23.7,28.9
2020-12-11 21:26:57,21,29,23.7,28.9
2020-12-11 21:27:03,21,29,23.7,28.9
2020-12-11 21:27:08,22,27,23.8,29.0
2020-12-11 21:27:13,22,27,23.7,28.9
2020-12-11 21:27:19,23,26,23.8,29.0
2020-12-11 21:27:24,23,27,23.7,28.9
2020-12-11 21:27:29,22,27,23.7,28.9
2020-12-11 21:27:35,22,27,23.7,28.9
2020-12-11 21:27:40,21,29,23.7,28.9
2020-12-11 21:27:45,21,29,23.7,28.9
2020-12-11 21:27:51,21,24,23.8,28.9
2020-12-11 21:27:56,21,24,23.7,28.9
2020-12-11 21:28:01,24,26,23.7,28.9
2020-12-11 21:28:07,24,26,23.7,28.9
2020-12-11 21:28:12,24,30,23.8,29.0
2020-12-11 21:28:17,24,30,23.8,29.0
2020-12-11 21:28:23,24,27,23.7,28.9
2020-12-11 21:28:28,24,27,23.7,28.9
2020-12-11 21:28:33,24,28,23.7,28.9
2020-12-11 21:28:39,24,28,23.7,28.9
2020-12-11 21:28:44,24,27,23.7,28.9
2020-12-11 21:28:49,24,27,23.7,28.9
2020-12-11 21:28:55,26,27,23.7,28.9
2020-12-11 21:29:00,25,26,23.7,28.9
2020-12-11 21:29:05,25,26,23.7,28.9
2020-12-11 21:29:11,25,26,23.7,28.9
2020-12-11 21:29:16,24,26,23.7,28.9
2020-12-11 21:29:21,24,26,23.7,28.9
2020-12-11 21:29:27,25,28,23.7,28.9
2020-12-11 21:29:32,25,28,23.7,28.9
2020-12-11 21:29:37,28,33,23.7,28.9
2020-12-11 21:29:43,28,33,23.7,28.9
2020-12-11 21:29:48,23,29,23.7,28.9
2020-12-11 21:29:53,23,29,23.7,29.0
2020-12-11 21:29:59,25,30,23.7,29.0
2020-12-11 21:30:04,25,30,23.7,29.0
2020-12-11 21:30:09,23,26,23.7,29.0
2020-12-11 21:30:15,23,26,23.7,28.9
2020-12-11 21:30:20,23,26,23.7,29.0
2020-12-11 21:30:25,23,26,23.7,29.0
2020-12-11 21:30:31,26,26,23.7,29.0
2020-12-11 21:30:36,23,24,23.7,29.0
2020-12-11 21:30:42,23,23,23.7,29.0
2020-12-11 21:30:47,23,23,23.6,29.0
2020-12-11 21:30:52,24,32,23.6,29.0
2020-12-11 21:30:58,24,32,23.6,29.0
2020-12-11 21:31:04,0,0,23.7,29.0
2020-12-11 21:31:09,28,37,23.6,29.0
2020-12-11 21:31:15,27,33,23.6,29.0
2020-12-11 21:31:20,26,31,23.6,29.0
2020-12-11 21:31:26,24,31,23.6,29.0
2020-12-11 21:31:31,26,32,23.6,29.0
2020-12-11 21:31:36,25,32,23.7,29.0
2020-12-11 21:31:42,24,31,23.6,29.0
2020-12-11 21:31:47,24,27,23.6,29.0
2020-12-11 21:31:52,24,26,23.6,29.0
2020-12-11 21:31:58,25,29,23.6,29.0
2020-12-11 21:32:03,25,29,23.6,29.0
2020-12-11 21:32:08,25,29,23.6,29.0
2020-12-11 21:32:14,26,30,23.6,29.0
2020-12-11 21:32:19,26,28,23.6,29.0
2020-12-11 21:32:24,27,29,23.6,29.0
2020-12-11 21:32:30,22,31,23.6,29.0
2020-12-11 21:32:35,23,34,23.6,29.0
2020-12-11 21:32:41,26,34,23.6,29.0
2020-12-11 21:32:46,25,33,23.6,29.0
2020-12-11 21:32:52,23,27,23.6,29.0
2020-12-11 21:32:57,24,24,23.6,29.0
2020-12-11 21:33:02,23,24,23.6,29.0
2020-12-11 21:33:08,23,24,23.6,29.0
2020-12-11 21:33:13,26,31,23.6,29.0
2020-12-11 21:33:18,26,31,23.6,29.0
2020-12-11 21:33:24,23,29,23.6,29.0
2020-12-11 21:33:29,23,29,23.6,29.0
2020-12-11 21:33:35,28,31,23.6,29.0
2020-12-11 21:33:40,28,33,23.6,29.0
2020-12-11 21:33:45,25,27,23.6,29.0
2020-12-11 21:33:51,23,25,23.6,29.0
2020-12-11 21:33:56,22,22,23.6,29.0
2020-12-11 21:34:01,22,22,23.6,29.0
2020-12-11 21:34:07,25,28,23.6,29.0
2020-12-11 21:34:12,25,29,23.6,29.0
2020-12-11 21:34:17,27,31,23.6,29.0
2020-12-11 21:34:23,27,32,23.6,29.0
2020-12-11 21:34:28,22,24,23.6,29.0
2020-12-11 21:34:33,23,25,23.6,29.0
2020-12-11 21:34:39,24,29,23.6,29.0
2020-12-11 21:34:44,25,32,23.6,29.0
2020-12-11 21:34:49,26,33,23.6,29.0
2020-12-11 21:34:55,26,33,23.6,29.0
2020-12-11 21:35:00,27,33,23.6,29.0
2020-12-11 21:35:05,26,32,23.6,29.0
2020-12-11 21:35:11,27,34,23.6,29.0
2020-12-11 21:35:16,27,34,23.6,29.0
2020-12-11 21:35:21,26,33,23.6,29.0
2020-12-11 21:35:27,26,32,23.6,29.0
2020-12-11 21:35:32,26,33,23.6,29.0
2020-12-11 21:35:37,24,32,23.5,29.0
2020-12-11 21:35:43,26,30,23.6,29.0
2020-12-11 21:35:48,25,29,23.5,29.0
2020-12-11 21:35:53,26,29,23.5,29.0
2020-12-11 21:35:59,28,29,23.6,29.0
2020-12-11 21:36:04,28,32,23.5,29.0
2020-12-11 21:36:09,27,32,23.6,29.0
2020-12-11 21:36:15,25,26,23.6,29.0
2020-12-11 21:36:20,26,28,23.5,29.0
2020-12-11 21:36:26,25,30,23.5,29.0
2020-12-11 21:36:31,25,29,23.6,29.0
2020-12-11 21:36:37,24,26,23.5,29.0
2020-12-11 21:36:42,26,27,23.6,29.0
2020-12-11 21:36:48,26,33,23.5,29.0
2020-12-11 21:36:53,25,32,23.5,29.0
2020-12-11 21:36:58,23,30,23.6,29.0
2020-12-11 21:37:04,23,30,23.5,29.0
2020-12-11 21:37:09,26,31,23.5,29.0
2020-12-11 21:37:14,26,31,23.5,29.0
2020-12-11 21:37:20,28,31,23.5,29.0
2020-12-11 21:37:25,27,30,23.5,29.0
2020-12-11 21:37:30,26,27,23.5,29.0
2020-12-11 21:37:36,25,26,23.5,29.0
